id,market_condition_id,outcome,entry_price,exit_price,shares,exit_value_usd,threshold,exited_at,final_outcome,final_price,counterfactual_pnl,outcome_filled_at
37,0xee1df75ed0ed2ec0d814cb25482411471001e3c8ece33f7d4d9049ecc8ea18cc,thundertalk gaming,0.11,0.32,434.42899002701705,139.01727680864545,1.5,2026-05-03T10:48:17.735157+00:00,LOST,0.0,-139.01727680864545,2026-05-03T15:45:24.949955+00:00
38,0xeb795a92b12b7f7e48c293505475517a7d81265ac340a1108e35b65f7c6ede93,tyloo,0.5363793639744311,0.7607679767801586,175.52043792317252,133.53032844237939,1.5,2026-05-03T11:18:45.257640+00:00,WON,1.0,41.99010948079314,2026-05-03T15:45:24.950489+00:00
39,0x30961d6cdb603a85f7db211e83d62c23d0d3186c0931e5c5285e5c9e6c7626d7,power rangers,0.58,0.999,27.18225810840629,27.155075850297884,1.5,2026-05-03T12:48:57.092255+00:00,WON,1.0,0.027182258108406316,2026-05-03T19:16:13.187338+00:00
40,0x9e2bd6cac70e4ab65ae701d7f1e0e392ea24631e43bc32891af870687dfeae23,ctbc flying oyster,0.4766265496428056,0.9904189054153907,198.13541900046903,196.23706481046435,1.5,2026-05-03T13:19:38.326498+00:00,WON,1.0,1.8983541900046919,2026-05-04T01:46:50.725920+00:00
41,0xa3e27f44fa9126734edd69ddc672b7e307249cecb8522c277a5c4bde2c298a3b,ninjas in pyjamas,0.16,0.25,589.7504826118846,147.43762065297116,1.5,2026-05-03T13:48:52.490041+00:00,LOST,0.0,-147.43762065297116,2026-05-03T19:16:13.187614+00:00
42,0x3231d0cdc79c0c91e63aa447b7a3609d1ebc74ab3940abf0f1d0d0cf7e36f465,ninjas in pyjamas,0.24,0.999,95.8540626279781,95.75820856535012,1.5,2026-05-03T13:48:53.348248+00:00,WON,1.0,0.09585406262797819,2026-05-03T19:16:13.187723+00:00
43,0x36cda93d9542e09b17048431654ea77b3c6bdf958d07da1922cc6227ee4cb4a6,dragon ranger gaming,0.5917240847248894,0.9989999999999999,157.0823234391565,156.92524111571734,1.5,2026-05-03T14:18:53.067515+00:00,WON,1.0,0.15708232343917408,2026-05-03T19:16:13.187879+00:00
44,0x6d1f6f5a3e9354d7d09e02222268c124aabe74880fe1e20cf4ef450bf2fd015a,lavked,0.5356130888268618,0.999,171.37342661583668,171.20205318922083,1.5,2026-05-03T14:18:53.703521+00:00,WON,1.0,0.17137342661583682,2026-05-03T19:16:13.187980+00:00
45,0x350938ac763a8367b9d4a2268e821acfbd1e93770185f3341f4305e73ca323c6,g2 esports,0.64,0.999,72.56985469581427,72.49728484111846,1.5,2026-05-03T17:46:01.570945+00:00,WON,1.0,0.07256985469581434,2026-05-04T01:46:50.726189+00:00
46,0xf856b6366ffa21c1bdd0ab6e87311547b3de78cf66b9adbb751ddde527b0a279,vitality,0.36000000000000004,0.999,320.92002409926755,320.59910407516827,1.5,2026-05-03T18:46:02.921104+00:00,WON,1.0,0.32092002409926784,2026-05-04T01:46:50.726447+00:00
47,0x351a5c6a0437b88fa7997b1232e8b52a30999eb3079a99f5a6481f502e71f1b6,natus vincere,0.13000000000000003,0.1574873302382228,259.43826947601895,40.85824042140284,1.5,2026-05-03T19:46:10.591334+00:00,LOST,0.0,-40.85824042140284,2026-05-04T01:46:50.726532+00:00
48,0xded958568c751bc4ce97086bbb5af34b0621d0c770a9ccfd14820a46a8e305fa,vitality,0.5067486260835682,0.8752159155386348,60.512992679906475,52.96193429032705,1.5,2026-05-03T20:16:05.111554+00:00,,,,
49,0xeb4b6896b259e8940de56aa9012a470f13f504f558d7b25baf764631c5c5539e,vitality,0.35345027673104756,0.9990000000000001,110.29473617983052,110.1844414436507,1.5,2026-05-03T20:16:05.892579+00:00,WON,1.0,0.11029473617981837,2026-05-04T01:46:50.726675+00:00
50,0xfa3f9647ea5702b91224cd490dccbcac33f7dde9995ca21ae5287cc0d8a1b0cb,yellow submarine,0.3309554269642519,0.9990000000000001,94.51511444343006,94.42059932898664,1.5,2026-05-03T21:16:04.225634+00:00,WON,1.0,0.09451511444341966,2026-05-04T01:46:50.726925+00:00
51,0x7805ddd8d1179cfceeec38d527ee9a94c4645343ec2064687d414247c8056778,lyon,0.6476792773717411,0.9990000000000001,150.8150934274229,150.6642783339955,1.5,2026-05-03T22:16:22.655255+00:00,WON,1.0,0.1508150934274063,2026-05-04T01:46:50.727098+00:00
52,0x7333de76ed3553e1045a667fd23a7697dfbd7b554fd1246ba28cd5cf2de2c45e,bounty hunters esports,0.37000000000000005,0.65,260.03741166541533,169.02431758251998,1.5,2026-05-03T22:16:23.582909+00:00,LOST,0.0,-169.02431758251998,2026-05-04T03:16:25.208050+00:00
53,0x7333de76ed3553e1045a667fd23a7697dfbd7b554fd1246ba28cd5cf2de2c45e,imperial,0.49849967772138215,0.999,117.38801463938202,117.27062662474263,1.5,2026-05-04T01:46:51.774536+00:00,WON,1.0,0.11738801463938213,2026-05-04T03:16:25.208247+00:00
54,0x1cb2d38f96a4d81a5b5002ed9400a9a71426584b57a99612348103981007cb02,voca,0.40011898230422205,0.603626841174185,232.76954568988944,140.50594558633807,1.5,2026-05-04T02:16:10.768122+00:00,WON,1.0,92.26360010355135,2026-05-04T07:16:23.140168+00:00
55,0xee5672da36fdd771891a6a8432a78252db9b1c173cc0c52e5ce2a4c7e8a0b7c5,dn soopers,0.6485753675488563,0.999,175.48385887131164,175.30837501244034,1.5,2026-05-04T08:46:37.197264+00:00,WON,1.0,0.1754838588713118,2026-05-04T15:17:12.221893+00:00
56,0x613fec3344674424c3cd6ac4eb8bbb943d26e7085430bbad7629bd2249457b42,dn soopers,0.36,0.5590893948035079,320.1533284566879,178.99433065117836,1.5,2026-05-04T09:16:36.337619+00:00,WON,1.0,141.15899780550956,2026-05-04T15:17:12.222048+00:00
57,0x2db3e855f81b1c8fa5c8e5df0bd23a0ffe913de15d9ef27586470e5d755ab23d,zero tenacity,0.296002724840791,0.38846454669472685,303.6305246313506,117.94969411359972,1.5,2026-05-04T10:16:36.381039+00:00,WON,1.0,185.6808305177509,2026-05-04T19:17:51.935760+00:00
58,0x8dd8356c580daabce9ef6488ef76e8b0a1c5ca43b385a39e34874df97a56dfd5,t1,0.57,0.999,199.2345144807163,199.0352799662356,1.5,2026-05-04T13:46:50.971672+00:00,,,,
59,0x5a0ce531784fd53c0a0962075733ae2b97d6bd327841490fdb53474e259aa2bb,mouz nxt,0.53,0.9989999999999999,85.64962087134492,85.56397125047357,1.5,2026-05-04T14:47:01.021570+00:00,WON,1.0,0.08564962087135451,2026-05-04T19:17:51.936030+00:00
60,0x8e25f146009bd146fad1c57129358d90de479fc81d663014f7b6df9549e119cf,fnatic,0.39,0.999,115.4658590034974,115.3503931444939,1.5,2026-05-04T15:47:09.520601+00:00,WON,1.0,0.1154658590034975,2026-05-05T02:15:14.203552+00:00
61,0xeb368e6d55fb73a66ec16f8d3a6078e904a2f50d9c924a8a206ce2d45d76e092,1win,0.39126761992646764,0.58,229.03263293153586,132.8389271002908,1.5,2026-05-04T16:47:11.373184+00:00,LOST,0.0,-132.8389271002908,2026-05-05T02:15:14.203767+00:00
